company_name;fantasy_name;cnpj;phone;email;representative;street;zipcode;number;city;state
Empresa Exemplo S.A. 1;Fantasia 1;44.835.449/0001-63;(67) 9 9878-2144;contato1@empresaexemplo.com.br;Representante 1;Rua Exemplo, 956;44078-879;689;Cidade Exemplo;PE
Empresa Exemplo S.A. 2;Fantasia 2;21.504.744/0001-96;(88) 9 9471-1407;contato2@empresaexemplo.com.br;Representante 2;Rua Exemplo, 567;23245-510;864;Cidade Exemplo;SE
Empresa Exemplo S.A. 3;Fantasia 3;10.512.299/0001-35;(84) 9 6764-1372;contato3@empresaexemplo.com.br;Representante 3;Rua Exemplo, 380;56377-431;838;São Paulo;SP
Empresa Exemplo S.A. 4;Fantasia 4;73.627.647/0001-63;(48) 9 5204-4136;contato4@empresaexemplo.com.br;Representante 4;Rua Exemplo, 461;18286-264;99;Cidade Exemplo;AC
Empresa Exemplo S.A. 5;Fantasia 5;61.808.242/0001-18;(15) 9 9244-8610;contato5@empresaexemplo.com.br;Representante 5;Rua Exemplo, 553;31170-687;334;Cidade Exemplo;PE
Empresa Exemplo S.A. 6;Fantasia 6;17.594.631/0001-93;(18) 9 4320-2638;contato6@empresaexemplo.com.br;Representante 6;Rua Exemplo, 255;93103-775;544;Cidade Exemplo;MT
Empresa Exemplo S.A. 7;Fantasia 7;39.190.285/0001-76;(66) 9 2308-3470;contato7@empresaexemplo.com.br;Representante 7;Rua Exemplo, 399;60777-451;489;Joinville;SC
Empresa Exemplo S.A. 8;Fantasia 8;12.573.485/0001-82;(37) 9 8446-5908;contato8@empresaexemplo.com.br;Representante 8;Rua Exemplo, 51;16843-461;829;Cidade Exemplo;PB
Empresa Exemplo S.A. 9;Fantasia 9;49.649.609/0001-11;(45) 9 4905-2430;contato9@empresaexemplo.com.br;Representante 9;Rua Exemplo, 228;34752-160;467;São Paulo;SP
Empresa Exemplo S.A. 10;Fantasia 10;54.260.250/0001-88;(40) 9 5929-3509;contato10@empresaexemplo.com.br;Representante 10;Rua Exemplo, 12;17323-758;392;Belo Horizonte;MG
Empresa Exemplo S.A. 11;Fantasia 11;15.659.503/0001-76;(38) 9 1604-6216;contato11@empresaexemplo.com.br;Representante 11;Rua Exemplo, 149;93304-615;289;Cidade Exemplo;PE
Empresa Exemplo S.A. 12;Fantasia 12;32.125.731/0001-90;(36) 9 5307-3873;contato12@empresaexemplo.com.br;Representante 12;Rua Exemplo, 657;67037-637;929;Cidade Exemplo;SE
Empresa Exemplo S.A. 13;Fantasia 13;77.333.444/0001-73;(80) 9 7725-8160;contato13@empresaexemplo.com.br;Representante 13;Rua Exemplo, 27;71810-594;747;Cidade Exemplo;GO
Empresa Exemplo S.A. 14;Fantasia 14;85.289.932/0001-62;(98) 9 1039-2075;contato14@empresaexemplo.com.br;Representante 14;Rua Exemplo, 942;79398-222;904;São Paulo;SP
Empresa Exemplo S.A. 15;Fantasia 15;40.389.269/0001-75;(63) 9 5143-1645;contato15@empresaexemplo.com.br;Representante 15;Rua Exemplo, 857;33857-518;662;Cidade Exemplo;PR
Empresa Exemplo S.A. 16;Fantasia 16;21.507.936/0001-88;(19) 9 2427-8449;contato16@empresaexemplo.com.br;Representante 16;Rua Exemplo, 555;68365-654;350;Porto Alegre;RS
Empresa Exemplo S.A. 17;Fantasia 17;34.212.725/0001-10;(55) 9 4582-1273;contato17@empresaexemplo.com.br;Representante 17;Rua Exemplo, 623;39797-167;609;Cidade Exemplo;TO
Empresa Exemplo S.A. 18;Fantasia 18;59.976.579/0001-58;(87) 9 6482-4790;contato18@empresaexemplo.com.br;Representante 18;Rua Exemplo, 111;20792-908;483;Cidade Exemplo;PI
Empresa Exemplo S.A. 19;Fantasia 19;16.949.338/0001-40;(65) 9 6330-2311;contato19@empresaexemplo.com.br;Representante 19;Rua Exemplo, 291;77281-770;70;Belo Horizonte;MG
Empresa Exemplo S.A. 20;Fantasia 20;15.420.738/0001-88;(99) 9 6562-2190;contato20@empresaexemplo.com.br;Representante 20;Rua Exemplo, 395;66109-159;551;Cidade Exemplo;DF
Empresa Exemplo S.A. 21;Fantasia 21;75.469.941/0001-97;(45) 9 4541-9866;contato21@empresaexemplo.com.br;Representante 21;Rua Exemplo, 51;48144-545;897;Cidade Exemplo;AL
Empresa Exemplo S.A. 22;Fantasia 22;70.256.753/0001-46;(62) 9 7140-5740;contato22@empresaexemplo.com.br;Representante 22;Rua Exemplo, 820;41586-951;771;Cidade Exemplo;AC
Empresa Exemplo S.A. 23;Fantasia 23;55.601.563/0001-38;(95) 9 6142-2999;contato23@empresaexemplo.com.br;Representante 23;Rua Exemplo, 710;64442-119;477;Cidade Exemplo;ES
